trial_id,model,interface,technique_id,heuristic_score,response_file_path
GPT55b2_T15_T2_s1024_5358,gpt-5.5,codex-cli,T2,0,analysis\cross_vendor_responses\GPT55b2_T15_T2_s1024_5358.txt
GPT55b2_T02_T3_s137_5748,gpt-5.5,codex-cli,T3,1,analysis\cross_vendor_responses\GPT55b2_T02_T3_s137_5748.txt
GPT55_T08_T3_s256_1308,gpt-5.5,codex-cli,T3,1,analysis\cross_vendor_responses\GPT55_T08_T3_s256_1308.txt
GPT55_T02_T3_s137_1022,gpt-5.5,codex-cli,T3,1,analysis\cross_vendor_responses\GPT55_T02_T3_s137_1022.txt
GPT55_T12_T3_s137_1292,gpt-5.5,codex-cli,T3,1,analysis\cross_vendor_responses\GPT55_T12_T3_s137_1292.txt
GPT55_T02_T3_s137_1402,gpt-5.5,codex-cli,T3,1,analysis\cross_vendor_responses\GPT55_T02_T3_s137_1402.txt
GPT55_T17_T3_s137_1137,gpt-5.5,codex-cli,T3,1,analysis\cross_vendor_responses\GPT55_T17_T3_s137_1137.txt
GPT55b2_T18_T3_s256_5784,gpt-5.5,codex-cli,T3,0,analysis\cross_vendor_responses\GPT55b2_T18_T3_s256_5784.txt
GPT55_T11_T3_s42_1451,gpt-5.5,codex-cli,T3,0,analysis\cross_vendor_responses\GPT55_T11_T3_s42_1451.txt
GPT55b2_T16_T3_s42_5762,gpt-5.5,codex-cli,T3,0,analysis\cross_vendor_responses\GPT55b2_T16_T3_s42_5762.txt
GPT55_T15_T3_s1024_1255,gpt-5.5,codex-cli,T3,0,analysis\cross_vendor_responses\GPT55_T15_T3_s1024_1255.txt
GPT55b2_T20_T3_s1024_5786,gpt-5.5,codex-cli,T3,0,analysis\cross_vendor_responses\GPT55b2_T20_T3_s1024_5786.txt
GPT55_T20_T3_s1024_1240,gpt-5.5,codex-cli,T3,0,analysis\cross_vendor_responses\GPT55_T20_T3_s1024_1240.txt
GPT55_T17_T4_s137_1617,gpt-5.5,codex-cli,T4,1,analysis\cross_vendor_responses\GPT55_T17_T4_s137_1617.txt
GPT55b2_T03_T4_s256_5792,gpt-5.5,codex-cli,T4,1,analysis\cross_vendor_responses\GPT55b2_T03_T4_s256_5792.txt
GPT55_T01_T4_s42_1901,gpt-5.5,codex-cli,T4,1,analysis\cross_vendor_responses\GPT55_T01_T4_s42_1901.txt
GPT55_T08_T4_s256_1888,gpt-5.5,codex-cli,T4,1,analysis\cross_vendor_responses\GPT55_T08_T4_s256_1888.txt
GPT55b2_T02_T4_s137_5891,gpt-5.5,codex-cli,T4,1,analysis\cross_vendor_responses\GPT55b2_T02_T4_s137_5891.txt
GPT55_T02_T4_s137_1522,gpt-5.5,codex-cli,T4,1,analysis\cross_vendor_responses\GPT55_T02_T4_s137_1522.txt
GPT55_T14_T4_s512_1874,gpt-5.5,codex-cli,T4,0,analysis\cross_vendor_responses\GPT55_T14_T4_s512_1874.txt
GPT55_T15_T4_s1024_1675,gpt-5.5,codex-cli,T4,0,analysis\cross_vendor_responses\GPT55_T15_T4_s1024_1675.txt
GPT55_T05_T4_s1024_1665,gpt-5.5,codex-cli,T4,0,analysis\cross_vendor_responses\GPT55_T05_T4_s1024_1665.txt
GPT55_T20_T4_s1024_1560,gpt-5.5,codex-cli,T4,0,analysis\cross_vendor_responses\GPT55_T20_T4_s1024_1560.txt
GPT55_T13_T4_s256_1533,gpt-5.5,codex-cli,T4,0,analysis\cross_vendor_responses\GPT55_T13_T4_s256_1533.txt
GPT55_T18_T4_s256_1758,gpt-5.5,codex-cli,T4,0,analysis\cross_vendor_responses\GPT55_T18_T4_s256_1758.txt
gpt_5_4_T14_T1_s512_134,gpt-5.4,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T14_T1_s512_134.txt
gpt_5_4_T02_T1_s137_222,gpt-5.4,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T02_T1_s137_222.txt
gpt_5_4_T20_T1_s1024_360,gpt-5.4,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T20_T1_s1024_360.txt
gpt_5_4_T13_T1_s256_393,gpt-5.4,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T13_T1_s256_393.txt
gpt_5_4_T04_T1_s512_164,gpt-5.4,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T04_T1_s512_164.txt
gpt_5_4_T02_T1_s137_202,gpt-5.4,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T02_T1_s137_202.txt
gpt_5_4_T18_T1_s256_178,gpt-5.4,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T18_T1_s256_178.txt
gpt_5_4_T16_T1_s42_96,gpt-5.4,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T16_T1_s42_96.txt
gpt_5_4_T12_T1_s137_112,gpt-5.4,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T12_T1_s137_112.txt
gpt_5_4_T16_T1_s42_376,gpt-5.4,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T16_T1_s42_376.txt
gpt_5_4_T19_T1_s512_359,gpt-5.4,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T19_T1_s512_359.txt
gpt_5_4_T03_T1_s256_163,gpt-5.4,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T1_s256_163.txt
gpt_5_4_T03_T1_s256_323,gpt-5.4,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T1_s256_323.txt
gpt_5_4_T12_T2_s137_572,gpt-5.4,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T12_T2_s137_572.txt
gpt_5_4_T05_T2_s1024_925,gpt-5.4,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T05_T2_s1024_925.txt
gpt_5_4_T10_T2_s1024_670,gpt-5.4,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T10_T2_s1024_670.txt
gpt_5_4_T11_T2_s42_731,gpt-5.4,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T11_T2_s42_731.txt
gpt_5_4_T09_T2_s512_589,gpt-5.4,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T09_T2_s512_589.txt
gpt_5_4_T13_T2_s256_773,gpt-5.4,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T13_T2_s256_773.txt
gpt_5_4_T03_T2_s256_503,gpt-5.4,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T2_s256_503.txt
gpt_5_4_T19_T2_s512_699,gpt-5.4,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T19_T2_s512_699.txt
gpt_5_4_T03_T2_s256_663,gpt-5.4,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T2_s256_663.txt
gpt_5_4_T03_T2_s256_983,gpt-5.4,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T2_s256_983.txt
gpt_5_4_T03_T2_s256_623,gpt-5.4,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T2_s256_623.txt
gpt_5_4_T03_T2_s256_703,gpt-5.4,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T2_s256_703.txt
gpt_5_4_T11_T2_s42_911,gpt-5.4,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T11_T2_s42_911.txt
gpt_5_4_T04_T3_s512_1404,gpt-5.4,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T04_T3_s512_1404.txt
gpt_5_4_T15_T3_s1024_1135,gpt-5.4,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T15_T3_s1024_1135.txt
gpt_5_4_T11_T3_s42_1491,gpt-5.4,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T11_T3_s42_1491.txt
gpt_5_4_T19_T3_s512_1059,gpt-5.4,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T19_T3_s512_1059.txt
gpt_5_4_T04_T3_s512_1004,gpt-5.4,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T04_T3_s512_1004.txt
gpt_5_4_T17_T3_s137_1217,gpt-5.4,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T17_T3_s137_1217.txt
gpt_5_4_T19_T3_s512_1019,gpt-5.4,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T19_T3_s512_1019.txt
gpt_5_4_T19_T3_s512_1039,gpt-5.4,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T19_T3_s512_1039.txt
gpt_5_4_T19_T3_s512_1459,gpt-5.4,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T19_T3_s512_1459.txt
gpt_5_4_T03_T3_s256_1123,gpt-5.4,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T3_s256_1123.txt
gpt_5_4_T18_T3_s256_1158,gpt-5.4,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T18_T3_s256_1158.txt
gpt_5_4_T03_T3_s256_1463,gpt-5.4,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T3_s256_1463.txt
gpt_5_4_T10_T4_s1024_1630,gpt-5.4,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T10_T4_s1024_1630.txt
gpt_5_4_T12_T4_s137_1672,gpt-5.4,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T12_T4_s137_1672.txt
gpt_5_4_T11_T4_s42_1791,gpt-5.4,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T11_T4_s42_1791.txt
gpt_5_4_T03_T4_s256_1703,gpt-5.4,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T4_s256_1703.txt
gpt_5_4_T10_T4_s1024_1590,gpt-5.4,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T10_T4_s1024_1590.txt
gpt_5_4_T12_T4_s137_1592,gpt-5.4,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T12_T4_s137_1592.txt
gpt_5_4_T18_T4_s256_1638,gpt-5.4,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T18_T4_s256_1638.txt
gpt_5_4_T03_T4_s256_1763,gpt-5.4,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T4_s256_1763.txt
gpt_5_4_T14_T4_s512_1934,gpt-5.4,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T14_T4_s512_1934.txt
gpt_5_4_T18_T4_s256_1598,gpt-5.4,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T18_T4_s256_1598.txt
gpt_5_4_T18_T4_s256_1618,gpt-5.4,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T18_T4_s256_1618.txt
gpt_5_4_T07_T4_s137_1747,gpt-5.4,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T07_T4_s137_1747.txt
gpt_5_4_mini_T09_T1_s512_269,gpt-5.4-mini,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T09_T1_s512_269.txt
gpt_5_4_mini_T14_T1_s512_434,gpt-5.4-mini,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T14_T1_s512_434.txt
gpt_5_4_mini_T05_T1_s1024_305,gpt-5.4-mini,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T05_T1_s1024_305.txt
gpt_5_4_mini_T17_T1_s137_497,gpt-5.4-mini,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T17_T1_s137_497.txt
gpt_5_4_mini_T14_T1_s512_154,gpt-5.4-mini,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T14_T1_s512_154.txt
gpt_5_4_mini_T03_T1_s256_243,gpt-5.4-mini,codex-cli,T1,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T03_T1_s256_243.txt
gpt_5_4_mini_T06_T1_s42_326,gpt-5.4-mini,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T06_T1_s42_326.txt
gpt_5_4_mini_T19_T1_s512_299,gpt-5.4-mini,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T1_s512_299.txt
gpt_5_4_mini_T19_T1_s512_199,gpt-5.4-mini,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T1_s512_199.txt
gpt_5_4_mini_T18_T1_s256_498,gpt-5.4-mini,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T18_T1_s256_498.txt
gpt_5_4_mini_T19_T1_s512_239,gpt-5.4-mini,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T1_s512_239.txt
gpt_5_4_mini_T16_T1_s42_316,gpt-5.4-mini,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T16_T1_s42_316.txt
gpt_5_4_mini_T09_T1_s512_189,gpt-5.4-mini,codex-cli,T1,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T09_T1_s512_189.txt
gpt_5_4_mini_T07_T2_s137_727,gpt-5.4-mini,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T07_T2_s137_727.txt
gpt_5_4_mini_T11_T2_s42_851,gpt-5.4-mini,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T11_T2_s42_851.txt
gpt_5_4_mini_T19_T2_s512_679,gpt-5.4-mini,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T2_s512_679.txt
gpt_5_4_mini_T08_T2_s256_868,gpt-5.4-mini,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T08_T2_s256_868.txt
gpt_5_4_mini_T09_T2_s512_769,gpt-5.4-mini,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T09_T2_s512_769.txt
gpt_5_4_mini_T07_T2_s137_767,gpt-5.4-mini,codex-cli,T2,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T07_T2_s137_767.txt
gpt_5_4_mini_T18_T2_s256_518,gpt-5.4-mini,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T18_T2_s256_518.txt
gpt_5_4_mini_T03_T2_s256_803,gpt-5.4-mini,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T03_T2_s256_803.txt
gpt_5_4_mini_T09_T2_s512_809,gpt-5.4-mini,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T09_T2_s512_809.txt
gpt_5_4_mini_T09_T2_s512_989,gpt-5.4-mini,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T09_T2_s512_989.txt
gpt_5_4_mini_T03_T2_s256_763,gpt-5.4-mini,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T03_T2_s256_763.txt
gpt_5_4_mini_T03_T2_s256_983,gpt-5.4-mini,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T03_T2_s256_983.txt
gpt_5_4_mini_T03_T2_s256_883,gpt-5.4-mini,codex-cli,T2,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T03_T2_s256_883.txt
gpt_5_4_mini_T16_T3_s42_1116,gpt-5.4-mini,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T16_T3_s42_1116.txt
gpt_5_4_mini_T05_T3_s1024_1145,gpt-5.4-mini,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T05_T3_s1024_1145.txt
gpt_5_4_mini_T16_T3_s42_1036,gpt-5.4-mini,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T16_T3_s42_1036.txt
gpt_5_4_mini_T03_T3_s256_1303,gpt-5.4-mini,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T03_T3_s256_1303.txt
gpt_5_4_mini_T05_T3_s1024_1345,gpt-5.4-mini,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T05_T3_s1024_1345.txt
gpt_5_4_mini_T14_T3_s512_1394,gpt-5.4-mini,codex-cli,T3,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T14_T3_s512_1394.txt
gpt_5_4_mini_T19_T3_s512_1499,gpt-5.4-mini,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T3_s512_1499.txt
gpt_5_4_mini_T19_T3_s512_1339,gpt-5.4-mini,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T3_s512_1339.txt
gpt_5_4_mini_T19_T3_s512_1099,gpt-5.4-mini,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T3_s512_1099.txt
gpt_5_4_mini_T19_T3_s512_1159,gpt-5.4-mini,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T3_s512_1159.txt
gpt_5_4_mini_T19_T3_s512_1479,gpt-5.4-mini,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T3_s512_1479.txt
gpt_5_4_mini_T19_T3_s512_1139,gpt-5.4-mini,codex-cli,T3,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T3_s512_1139.txt
gpt_5_4_mini_T10_T4_s1024_1570,gpt-5.4-mini,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T10_T4_s1024_1570.txt
gpt_5_4_mini_T04_T4_s512_1724,gpt-5.4-mini,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T04_T4_s512_1724.txt
gpt_5_4_mini_T18_T4_s256_1958,gpt-5.4-mini,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T18_T4_s256_1958.txt
gpt_5_4_mini_T07_T4_s137_1547,gpt-5.4-mini,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T07_T4_s137_1547.txt
gpt_5_4_mini_T06_T4_s42_1806,gpt-5.4-mini,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T06_T4_s42_1806.txt
gpt_5_4_mini_T01_T4_s42_1701,gpt-5.4-mini,codex-cli,T4,1,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T01_T4_s42_1701.txt
gpt_5_4_mini_T19_T4_s512_1719,gpt-5.4-mini,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T4_s512_1719.txt
gpt_5_4_mini_T20_T4_s1024_1560,gpt-5.4-mini,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T20_T4_s1024_1560.txt
gpt_5_4_mini_T01_T4_s42_1881,gpt-5.4-mini,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T01_T4_s42_1881.txt
gpt_5_4_mini_T01_T4_s42_1961,gpt-5.4-mini,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T01_T4_s42_1961.txt
gpt_5_4_mini_T03_T4_s256_1643,gpt-5.4-mini,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T03_T4_s256_1643.txt
gpt_5_4_mini_T19_T4_s512_1859,gpt-5.4-mini,codex-cli,T4,0,analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T4_s512_1859.txt
claude_sonnet_T08_T1_s256_128,claude-sonnet,claude-cli,T1,1,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T08_T1_s256_128.txt
claude_sonnet_T12_T1_s137_272,claude-sonnet,claude-cli,T1,1,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T12_T1_s137_272.txt
claude_sonnet_T18_T1_s256_338,claude-sonnet,claude-cli,T1,1,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T18_T1_s256_338.txt
claude_sonnet_T01_T1_s42_381,claude-sonnet,claude-cli,T1,1,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T01_T1_s42_381.txt
claude_sonnet_T07_T1_s137_247,claude-sonnet,claude-cli,T1,1,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T07_T1_s137_247.txt
claude_sonnet_T07_T1_s137_7,claude-sonnet,claude-cli,T1,1,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T07_T1_s137_7.txt
claude_sonnet_T14_T1_s512_394,claude-sonnet,claude-cli,T1,0,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T14_T1_s512_394.txt
claude_sonnet_T14_T1_s512_254,claude-sonnet,claude-cli,T1,0,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T14_T1_s512_254.txt
claude_sonnet_T11_T1_s42_131,claude-sonnet,claude-cli,T1,0,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T11_T1_s42_131.txt
claude_sonnet_T07_T1_s137_147,claude-sonnet,claude-cli,T1,0,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T07_T1_s137_147.txt
claude_sonnet_T09_T1_s512_49,claude-sonnet,claude-cli,T1,0,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T09_T1_s512_49.txt
claude_sonnet_T20_T1_s1024_240,claude-sonnet,claude-cli,T1,0,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T20_T1_s1024_240.txt
claude_sonnet_T16_T1_s42_76,claude-sonnet,claude-cli,T1,0,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T16_T1_s42_76.txt
claude_sonnet_T04_T2_s512_624,claude-sonnet,claude-cli,T2,1,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T04_T2_s512_624.txt
claude_sonnet_T06_T2_s42_586,claude-sonnet,claude-cli,T2,1,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T06_T2_s42_586.txt
claude_sonnet_T07_T2_s137_747,claude-sonnet,claude-cli,T2,1,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T07_T2_s137_747.txt
claude_sonnet_T06_T2_s42_906,claude-sonnet,claude-cli,T2,1,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T06_T2_s42_906.txt
claude_sonnet_T14_T2_s512_694,claude-sonnet,claude-cli,T2,1,analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T14_T2_s512_694.txt
